Date,Open,High,Low,Close,Adj_Close,Volume
2024-10-08,772.25,784.4,772.25,781.45,781.45,8560960.0
2024-10-07,800.0,804.0,765.4,770.65,770.65,24267990.0
2024-10-04,792.0,809.85,785.25,796.65,796.65,20097454.0
2024-10-03,789.9,804.0,784.3,794.1,794.1,15944135.0
2024-10-01,788.0,800.35,788.0,796.95,796.95,13280535.0
2024-09-30,801.9,802.6,786.45,787.9,787.9,15484573.0
2024-09-27,801.85,808.0,798.45,802.65,802.65,15193681.0
2024-09-26,796.0,803.0,791.6,801.85,801.85,23198842.0
2024-09-25,797.9,798.0,788.7,793.1,793.1,18465571.0
2024-09-24,799.25,804.25,796.5,798.25,798.25,15180653.0
2024-09-23,786.0,805.0,784.5,801.85,801.85,17309545.0
2024-09-20,794.85,794.85,779.5,781.7,781.7,21372244.0
2024-09-19,795.05,801.35,784.05,789.95,789.95,10645478.0
2024-09-18,783.8,794.75,782.0,792.75,792.75,18324412.0
2024-09-17,785.6,787.5,780.55,782.9,782.9,10665630.0
2024-09-16,790.85,795.0,784.4,785.55,785.55,9553736.0
2024-09-13,791.0,795.0,785.1,790.85,790.85,12950936.0
2024-09-12,775.0,789.9,772.75,787.75,787.75,17578964.0
2024-09-11,780.05,788.0,765.4,768.6,768.6,20060665.0
2024-09-10,788.0,788.8,777.5,782.65,782.65,12824701.0
2024-09-09,785.0,788.2,771.0,784.25,784.25,21322103.0
2024-09-06,811.5,812.9,777.0,782.5,782.5,40220096.0
2024-09-05,818.35,822.15,814.4,818.75,818.75,8395074.0
2024-09-04,815.45,818.65,813.65,816.5,816.5,10789570.0
2024-09-03,822.15,825.95,816.4,824.8,824.8,10548350.0
2024-09-02,817.3,825.4,813.05,822.15,822.15,11813750.0
2024-08-30,817.15,820.7,814.35,815.6,815.6,8911426.0
2024-08-29,809.55,816.0,806.95,814.5,814.5,18247268.0
2024-08-28,814.75,817.2,806.5,809.4,809.4,10371300.0
2024-08-27,817.8,819.45,811.05,815.9,815.9,12833290.0
2024-08-26,818.0,823.45,813.8,815.05,815.05,8523795.0
2024-08-23,821.5,822.0,814.5,815.35,815.35,5537747.0
2024-08-22,819.0,823.9,817.1,820.3,820.3,7832917.0
2024-08-21,820.3,821.0,811.2,815.55,815.55,14607257.0
2024-08-20,817.95,823.0,813.35,820.3,820.3,10347493.0
2024-08-19,815.0,825.4,812.6,813.7,813.7,10151482.0
